id,title_ko,title_en,title_ja,title_zh,title_es,story_ko,story_en,story_ja,story_zh,story_es,q1_ko,q1_en,q1_ja,q1_zh,q1_es,q2_ko,q2_en,q2_ja,q2_zh,q2_es
464,북한 관련 기사 하나 읽고 기도하기,Read a North Korea Article and Pray,北朝鮮に関する記事を一つ読んで祈る,阅读一篇有关北韩的新闻并祷告,Leer un artículo sobre Corea del Norte y orar,"뉴스에서 북한 관련 기사를 읽고, 무감각해지지 않으려 짧게 기도했습니다. 그 땅도 하나님의 땅이며, 회복을 원하신다는 사실을 다시 깨달았습니다.","After reading a news article about North Korea, I said a short prayer to keep my heart from becoming numb. I was reminded that North Korea is God’s land too, and He desires its restoration.",ニュースで北朝鮮に関する記事を読み、無関心にならないように短く祈りました。その地も神様の土地であり、神様が回復を望んでおられることを思い出しました。,读完关于北韩的新闻后，我做了一个简短的祷告，提醒自己不要麻木。那片土地也是神的国度，祂愿意恢复它。,"Después de leer una noticia sobre Corea del Norte, hice una breve oración para no insensibilizarme. Recordé que esa tierra también le pertenece a Dios y Él desea su restauración.",오늘 나는 어떤 뉴스 속에서 하나님의 마음을 느꼈나요?,In which news today did I feel God’s heart?,今日、どのニュースの中で神様の御心を感じましたか？,今天我在哪篇新闻中感受到神的心？,¿En qué noticia sentí hoy el corazón de Dios?,북한을 위한 나의 기도는 무엇이었나요?,What was my prayer for North Korea?,北朝鮮のためにどんな祈りをしましたか？,我为北韩献上的祷告是什么？,¿Cuál fue mi oración por Corea del Norte?
465,주변에 하나님이 함께하신다는 말을 전하기,Telling Someone That God Is with Them,周りの人に「神様が共におられる」と伝える,告诉身边的人神与他们同在,Decirle a alguien que Dios está con él,"힘들어 보이는 친구에게 '하나님이 함께하셔'라는 말을 건넸습니다. 친구는 조용히 고개를 끄덕였고, 서로의 믿음이 조금 더 가까워졌습니다.","I told a struggling friend, 'God is with you.' They nodded quietly, and our faith felt a little closer.",つらそうな友達に「神様が共におられるよ」と声をかけました。友達は静かにうなずき、私たちの信仰が少し近づいた気がしました。,我对一位看起来很辛苦的朋友说：“神与你同在。”朋友默默点头，我们的信仰也更加靠近了。,"A un amigo que parecía estar pasándola mal, le dije: 'Dios está contigo'. Asintió en silencio, y nuestra fe se sintió más cercana.",오늘 나는 누구에게 하나님의 존재를 전했나요?,To whom did I share God's presence today?,今日は誰に神様の存在を伝えましたか？,今天我向谁传达了神的同在？,¿A quién le compartí la presencia de Dios hoy?,하나님은 나를 통해 어떤 위로를 전하시길 원하실까요?,What kind of comfort does God want to deliver through me?,神様は私を通してどんな慰めを与えたいと願っておられるでしょうか？,神希望借着我传递怎样的安慰？,¿Qué consuelo quiere Dios transmitir a través de mí?
466,북한을 위해 기도하는 하루 시작하기,Starting the Day Praying for North Korea,北朝鮮のために祈って一日を始める,以为北韩祷告开始新的一天,Comenzar el día orando por Corea del Norte,"아침마다 드리는 짧은 기도가 있었다. 하지만 오늘은 특별히 북한의 주민들, 그 땅의 교회, 숨어 예배하는 성도들을 위해 기도했다. 눈물이 흘렀다. 내가 할 수 있는 가장 강력한 일이 기도라는 걸 새삼 느꼈다.","I usually say a short morning prayer, but today I prayed specifically for the people of North Korea, their churches, and the believers who worship in hiding. I wept. I realized once again that prayer is the most powerful thing I can do.",毎朝短い祈りを捧げていましたが、今日は特に北朝鮮の住民たち、その地の教会、隠れて礼拝する信徒たちのために祈りました。涙が流れました。自分にできる最も力強いことは祈りだと改めて感じました。,我每天早上都会祷告，但今天特别为北韩人民、那地的教会和在隐秘中敬拜的信徒祷告。我流下了眼泪，再次体会到祷告是我能做的最有力的事。,"Normalmente hago una breve oración matutina, pero hoy oré especialmente por los habitantes de Corea del Norte, sus iglesias y los creyentes que adoran en secreto. Lloré. Volví a sentir que la oración es lo más poderoso que puedo hacer.",나는 오늘 북한을 위해 어떤 기도를 했나요?,What kind of prayer did I offer for North Korea today?,今日は北朝鮮のためにどんな祈りを捧げましたか？,今天我为北韩祷告了些什么？,¿Qué tipo de oración hice hoy por Corea del Norte?,하나님은 나의 기도를 통해 어떤 일을 시작하실까요?,What might God begin through my prayer?,神様は私の祈りを通してどんなことを始められるでしょうか？,神会通过我的祷告开始做什么事？,¿Qué puede comenzar Dios a través de mi oración?
468,오늘도 하나님과 함께 걷기,Walking with God Again Today,今日も神様と共に歩む,今天也与神同行,Caminar con Dios también hoy,"바쁜 하루였지만, 매 순간 '하나님, 지금도 함께하시죠?'라고 속으로 물었다. 출근길에도, 회의 중에도. 마음이 분주할 때마다 하나님과 동행하는 것이 어떤 기적인지 느꼈다.","It was a busy day, but at every moment, I whispered, 'God, You're with me, right?' On the way to work, during meetings—I realized what a miracle it is to walk with God even in chaos.",忙しい一日でしたが、瞬間ごとに「神様、今も共におられますか？」と心の中で問いかけました。通勤途中も、会議中も。心が忙しくなるたびに、神様と共に歩むことがどれほどの奇跡かを感じました。,虽然是忙碌的一天，但我在每一刻都在心中默问：“神啊，你现在也与我同在吗？”无论是在上班路上，还是开会时，我感受到即使在繁忙中也能与神同行是一种奇迹。,"Fue un día ocupado, pero en cada momento susurré: 'Dios, ¿estás conmigo, verdad?'. En el camino al trabajo, en reuniones... Sentí que caminar con Dios incluso en medio del caos es un milagro.",오늘 나는 하나님과 어떤 대화를 나누었나요?,What kind of conversation did I have with God today?,今日は神様とどんな対話をしましたか？,今天我与神有过怎样的对话？,¿Qué conversación tuve con Dios hoy?,하나님이 항상 나와 함께하신다는 사실을 잊고 살진 않았나요?,Have I forgotten that God is always with me?,神様がいつも共におられることを忘れていませんか？,我是否忘记了神一直与我同在？,¿He olvidado que Dios siempre está conmigo?
469,북한의 다음 세대를 축복하며 기도하기,Praying Blessings Over North Korea's Next Generation,北朝鮮の次世代のために祝福の祈りを捧げる,为北韩的下一代祝福祷告,Orar bendiciones por la próxima generación de Corea del Norte,"북한의 아이들을 상상해봤다. 찬송을 크게 부를 수 없는 그 아이들. 그들을 위해 찬송을 부르고, 축복의 기도를 했다. 하나님께서 그 아이들에게도 소망을 주실 거라는 믿음이 생겼다.",I imagined children in North Korea—unable to sing praise loudly. I sang for them and prayed blessings over them. I came to believe God will give hope to them too.,北朝鮮の子どもたちを想像してみました。賛美歌を大きな声で歌うことができない彼らのために、私は代わりに賛美を歌い、祝福の祈りを捧げました。神様がその子どもたちにも希望を与えてくださると信じるようになりました。,我想象着北韩的孩子们——无法大声唱诗赞美的孩子们。我为他们唱赞美，为他们祝福祷告。我相信神也会赐给他们希望。,"Imaginé a los niños de Corea del Norte, que no pueden cantar alabanzas en voz alta. Canté por ellos y oré bendiciones sobre ellos. Empecé a creer que Dios también les dará esperanza.",나는 북한의 어린이들을 위해 어떤 축복을 전했나요?,What blessings did I declare over the children of North Korea?,北朝鮮の子どもたちにどんな祝福を祈りましたか？,我为北韩的孩子们祈求了哪些祝福？,¿Qué bendiciones declaré sobre los niños norcoreanos?,하나님은 다음 세대에게 어떤 비전을 주실까요?,What vision might God give to the next generation?,神様は次世代にどんなビジョンを与えてくださるでしょうか？,神会赐予下一代什么样的异象？,¿Qué visión podría dar Dios a la próxima generación?
470,자연 속에서 하나님을 바라보기,Seeing God in Nature,自然の中で神様を見つめる,在自然中仰望神,Contemplar a Dios en la naturaleza,하늘이 너무 맑았다. 바람이 부드럽게 볼을 스쳤다. 이 순간에도 하나님의 숨결이 느껴졌다. 눈을 감고 감사 기도를 드렸다. 일상의 자연 속에서 하나님을 다시 만났다.,"The sky was so clear, and the breeze gently touched my cheek. Even in this moment, I felt God's breath. I closed my eyes and offered a prayer of thanks. In the nature of daily life, I met God again.",空がとても澄んでいて、そよ風が頬を優しく撫でました。その瞬間にも神様の息吹を感じ、目を閉じて感謝の祈りを捧げました。日常の自然の中で、再び神様に出会いました。,天空如此清澈，微风轻拂我的面颊。在这瞬间，我感受到神的气息。我闭上眼睛，献上感恩的祷告。在日常的自然中，我再次遇见了神。,"El cielo estaba muy despejado, y la brisa rozaba suavemente mi mejilla. En ese momento sentí el aliento de Dios. Cerré los ojos y ofrecí una oración de agradecimiento. En la naturaleza diaria, volví a encontrarme con Dios.",나는 오늘 자연을 통해 하나님의 어떤 모습을 느꼈나요?,What aspect of God did I feel through nature today?,今日は自然を通して神様のどんな姿を感じましたか？,今天我透过自然感受到神的哪一面？,¿Qué aspecto de Dios sentí a través de la naturaleza hoy?,하나님이 주신 오늘의 아름다움에 감사하고 있나요?,Am I giving thanks for the beauty God gave me today?,神様がくださった今日の美しさに感謝していますか？,我是否感谢神所赐予今日的美好？,¿Estoy agradecido por la belleza que Dios me dio hoy?
471,하루에 한 번 하나님께 감사하기,Giving Thanks to God Once a Day,一日に一度神様に感謝する,每天向神感恩一次,Dar gracias a Dios una vez al día,"하루가 끝날 때 '하나님, 오늘도 감사해요'라고 말하는 습관을 들이기 시작했다. 감사한 일들을 하나씩 떠올리며 잠들었다. 그것만으로도 평안이 밀려왔다.","I started the habit of saying, 'God, thank You for today' at the end of the day. As I fell asleep listing the things I was thankful for, peace filled my heart.",一日の終わりに「神様、今日もありがとうございます」と言う習慣を始めました。感謝できることを一つずつ思い出しながら眠りにつくと、それだけで平安が訪れました。,我开始养成一个习惯，每天结束时对神说：“神啊，谢谢祢赐予这一天。”想着一天中值得感恩的事入睡，心中涌上平安。,"Comencé el hábito de decir 'Dios, gracias por hoy' al final del día. Al dormirme recordando las cosas por las que estaba agradecido, sentí paz en mi corazón.",나는 오늘 무엇에 감사했나요?,What was I thankful for today?,今日は何に感謝しましたか？,今天我为哪些事感恩？,¿Por qué estuve agradecido hoy?,감사의 기도를 자주 드리고 있나요?,Am I often offering prayers of gratitude?,感謝の祈りをよく捧げていますか？,我是否常常献上感恩的祷告？,¿Estoy orando con gratitud con frecuencia?
472,북한에 복음이 전해지도록 구체적으로 기도하기,Praying Specifically for the Gospel to Reach North Korea,北朝鮮に福音が届くように具体的に祈る,具体地为福音传入北韩祷告,Orar específicamente para que el evangelio llegue a Corea del Norte,"‘북한에 복음을!’ 외치며 기도하던 날, 하나님께서 한 가지 마음을 주셨다. '기도만 말고, 네 삶으로 준비하라.' 그날부터 나는 더 부지런히 말씀을 읽기 시작했다.","As I cried out, 'The gospel to North Korea!' in prayer, God gave me this thought: 'Don't just pray—prepare through your life.' From that day, I began to read the Word more diligently.",「北朝鮮に福音を！」と叫んで祈っていたある日、神様がこう語られました。「祈るだけでなく、自分の人生をもって備えなさい。」その日から、私はもっと熱心に御言葉を読むようになりました。,在我呼喊“愿福音临到北韩”祷告时，神对我说：“不仅要祷告，也要用你的生活来预备。”从那天起，我更勤奋地读神的话语。,"Mientras oraba gritando '¡El evangelio a Corea del Norte!', Dios puso esto en mi corazón: 'No solo ores, prepárate con tu vida'. Desde ese día comencé a leer la Palabra con más diligencia.",나는 북한 복음화를 위해 어떤 준비를 하고 있나요?,How am I preparing for the gospel to reach North Korea?,北朝鮮の福音化のために私はどんな準備をしていますか？,我为福音传入北韩做了哪些预备？,¿Cómo me estoy preparando para que el evangelio llegue a Corea del Norte?,하나님은 내 삶을 통해 어떤 일을 하시길 원하실까요?,What might God want to do through my life?,神様は私の人生を通して何をしたいと願っておられるでしょうか？,神想通过我的生命成就什么？,¿Qué quiere Dios hacer a través de mi vida?
473,출근길에 말씀 듣기,Listening to the Word on the Way to Work,通勤中に御言葉を聞く,上班途中聆听神的话语,Escuchar la Palabra camino al trabajo,지하철에서 음악 대신 설교를 들었다. '하나님이 오늘도 너를 이끌고 계신다'는 메시지를 들으며 가슴이 뜨거워졌다. 말씀 한 줄이 하루를 지탱하게 했다.,"Instead of music, I listened to a sermon on the subway. The message 'God is guiding you today' touched my heart deeply. A single line of scripture sustained me through the day.",地下鉄で音楽の代わりに説教を聞きました。「神様は今日もあなたを導いておられる」というメッセージに心が熱くなりました。御言葉の一節が一日を支えてくれました。,我在地铁上没有听音乐，而是听了讲道。那句“神今天也在引导你”的信息让我心中火热。一句经文支撑我度过整天。,"En lugar de música, escuché una predicación en el metro. El mensaje 'Dios te está guiando hoy también' me conmovió profundamente. Una línea de la Palabra me sostuvo todo el día.",나는 오늘 어떤 말씀으로 하루를 시작했나요?,What word did I start my day with today?,今日はどんな御言葉で一日を始めましたか？,今天我是以哪段经文开始新的一天？,¿Con qué palabra comencé el día hoy?,그 말씀이 오늘 나에게 어떤 힘이 되었나요?,How did that word strengthen me today?,その御言葉は今日、私にどんな力を与えましたか？,这段话语今天如何给我力量？,¿Cómo me fortaleció esa palabra hoy?
474,하나님의 시선으로 세상 바라보기,Seeing the World Through God's Eyes,神様の視点で世界を見る,以神的眼光看世界,Ver el mundo con los ojos de Dios,"길거리를 지나가며, 사람들의 얼굴을 하나씩 바라봤다. 무관심했던 마음이 ‘이들도 하나님의 사랑을 받는 존재야’라는 생각으로 바뀌었다. 세상이 조금 따뜻하게 느껴졌다.","As I walked through the street, I looked at each face I passed. My once indifferent heart shifted to a new thought: 'These people are loved by God too.' The world suddenly felt warmer.",街を歩きながら、すれ違う人の顔を一人ひとり見つめました。無関心だった心が、「この人たちも神様に愛されている存在だ」と思うようになり、世界が少し温かく感じられました。,走在街上时，我看着每一张擦肩而过的脸。原本漠不关心的心，变成了“他们也是神所爱的”的念头，世界也显得温暖了一些。,"Mientras caminaba por la calle, miraba los rostros de las personas. Mi corazón antes indiferente cambió: 'Estas personas también son amadas por Dios'. El mundo se sintió un poco más cálido.",나는 오늘 누구를 하나님의 시선으로 바라보았나요?,Who did I see today through God's perspective?,今日は誰を神様の視点で見ましたか？,今天我以神的眼光看了谁？,¿A quién vi hoy con los ojos de Dios?,그 시선이 나를 어떻게 변화시켰나요?,How did that perspective change me?,その視点は私にどんな変化をもたらしましたか？,那样的眼光如何改变了我？,¿Cómo me cambió esa perspectiva?
475,북한을 위해 찬양하며 기도하기,Praying and Singing for North Korea,北朝鮮のために賛美して祈る,为北韩祷告并赞美,Orar y alabar por Corea del Norte,"예배 시간, 찬양을 드리면서 북한을 생각했다. 그 땅에서 자유롭게 찬양할 날을 상상하며 눈을 감았다. 하나님은 그 찬양을 들으신다. 기도는 곧 찬양이었다.","During worship, I thought of North Korea as I sang. I closed my eyes and imagined the day they could worship freely. I believed God heard my praise. My prayer became praise.",礼拝の時間、賛美を捧げながら北朝鮮のことを思いました。自由に賛美できる日を想像して目を閉じました。神様はその賛美を聞いておられました。祈りはそのまま賛美となりました。,在敬拜时，我边赞美边想着北韩。我闭上眼睛，想象着他们能自由敬拜的那一天。相信神听到了我的赞美。祷告就成了赞美。,"Durante la adoración, pensé en Corea del Norte mientras cantaba. Cerré los ojos e imaginé el día en que pudieran alabar libremente. Dios escuchó mi alabanza. La oración se convirtió en alabanza.",나는 오늘 어떤 찬양으로 기도했나요?,What praise did I pray with today?,今日はどんな賛美で祈りましたか？,今天我以怎样的赞美祷告？,¿Con qué alabanza oré hoy?,그 찬양이 북한의 성도들에게 전해진다면 어떤 위로가 될까요?,"If that praise reached believers in North Korea, what comfort might it bring?",その賛美が北朝鮮の信徒たちに届いたら、どんな慰めになるでしょうか？,如果这些赞美传到北韩信徒耳中，会带来怎样的安慰？,"Si esa alabanza llegara a los creyentes en Corea del Norte, ¿qué consuelo podría traerles?"
476,하나님의 시선으로 북한을 바라보기,Seeing North Korea Through God's Eyes,神様の視点で北朝鮮を見る,以神的眼光看北韩,Ver Corea del Norte con los ojos de Dios,"뉴스에서 북한의 모습을 보며 무심코 비판하려다, 문득 하나님의 마음으로 바라보려 했어요. 그들도 하나님이 사랑하시는 영혼이라는 사실을 기억하며, 북한을 위한 기도를 시작했어요.","As I watched the news about North Korea, I was about to criticize but stopped and tried to see with God's heart. Remembering they are souls loved by God, I began to pray for North Korea.",ニュースで北朝鮮の様子を見て批判しそうになりましたが、神様の心で見ようとしました。彼らも神様に愛されている魂だと気づき、北朝鮮のために祈り始めました。,看到关于北韩的新闻时，我原本想批评，但转而试着以神的心来看待他们。想起他们也是神所爱的灵魂，我开始为北韩祷告。,"Al ver las noticias sobre Corea del Norte, estuve a punto de criticar, pero decidí mirarlos con el corazón de Dios. Al recordar que también son almas amadas por Él, comencé a orar por Corea del Norte.",나는 북한을 하나님의 시선으로 바라보고 있나요?,Am I seeing North Korea through God's eyes?,私は北朝鮮を神様の視点で見ていますか？,我是否以神的眼光看北韩？,¿Estoy viendo a Corea del Norte con los ojos de Dios?,"오늘, 북한을 위해 어떤 기도를 드릴 수 있을까요?",What prayer can I offer for North Korea today?,今日は北朝鮮のためにどんな祈りができますか？,今天我能为北韩献上怎样的祷告？,¿Qué oración puedo ofrecer hoy por Corea del Norte?
477,일상 속 작은 감사 실천하기,Practicing Small Acts of Gratitude in Daily Life,日常の中で小さな感謝を実践する,在日常生活中实践小小的感恩,Practicar pequeños actos de gratitud en la vida diaria,"편의점 직원에게 '수고 많으세요'라고 인사했더니, 놀라운 미소로 답해주셨어요. 평범한 하루가 따뜻하게 느껴졌고, 나 역시 감사의 마음으로 하루를 살아야겠다고 다짐했어요.","I said 'Thank you for your hard work' to a convenience store clerk, and they replied with a bright smile. An ordinary day felt warmer, and I decided to live my day with a heart of gratitude.",コンビニの店員さんに「お疲れさまです」と声をかけたら、驚くほどの笑顔で返してくれました。平凡な一日が温かく感じられ、自分も感謝の心で一日を過ごそうと決意しました。,我对便利店店员说“辛苦了”，他们回以灿烂的微笑。平凡的一天变得温暖起来，我也立志要以感恩的心过这一天。,"Le dije 'Gracias por tu trabajo' a un empleado de la tienda y me respondió con una sonrisa sorprendente. Un día común se sintió más cálido, y decidí vivir con un corazón agradecido.",오늘 나는 누군가에게 감사의 말을 전했나요?,Did I express gratitude to someone today?,今日は誰かに感謝の言葉を伝えましたか？,今天我有没有向某人表达感谢？,¿Expresé gratitud a alguien hoy?,하나님께 감사하며 하루를 살고 있나요?,Am I living my day with gratitude to God?,神様に感謝しながら一日を過ごしていますか？,我是否带着对神的感恩度过今天？,¿Estoy viviendo mi día con gratitud hacia Dios?
478,북한 어린이들을 위한 기도,Praying for North Korean Children,北朝鮮の子どもたちのために祈る,为北韩儿童祷告,Orar por los niños de Corea del Norte,"북한의 굶주리는 아이들을 떠올리며 잠시라도 음식을 남기지 않기로 결심했어요. 그리고 매일 밤, 그들을 위해 기도하는 습관을 만들었어요.","Thinking of the starving children in North Korea, I resolved not to waste food, even for a moment. I also began the habit of praying for them every night.",北朝鮮の飢えている子どもたちを思い浮かべて、食べ物を無駄にしないと決めました。そして毎晩、彼らのために祈る習慣を始めました。,想到北韩那些挨饿的孩子，我下定决心哪怕一点也不浪费食物。我也开始每天晚上为他们祷告的习惯。,"Pensando en los niños hambrientos de Corea del Norte, decidí no desperdiciar comida ni por un momento. También comencé el hábito de orar por ellos cada noche.",북한의 아이들을 위해 내가 할 수 있는 일은 무엇인가요?,What can I do for the children in North Korea?,北朝鮮の子どもたちのために私にできることは何ですか？,我能为北韩的孩子们做些什么？,¿Qué puedo hacer por los niños de Corea del Norte?,하나님은 그들을 위해 내가 어떤 행동을 하길 원하실까요?,What action does God want me to take for them?,神様は彼らのために私にどんな行動を望んでおられるでしょうか？,神希望我为他们采取什么行动？,¿Qué acción quiere Dios que tome por ellos?
479,하나님과 산책하기,Taking a Walk with God,神様と一緒に散歩する,与神同行散步,Pasear con Dios,"저녁 노을을 보며 산책을 하다가, 하나님께 말을 걸기 시작했어요. 자연 속에서 조용히 나누는 대화는 너무나 평화로웠고, 마치 하나님이 곁에 함께 계시는 느낌이었어요.","As I walked under the evening glow, I began talking to God. The quiet conversation in nature felt peaceful, as if God were walking right beside me.",夕焼けを見ながら散歩していると、神様に話しかけ始めました。自然の中での静かな会話はとても平和で、まるで神様が隣におられるように感じました。,在晚霞下散步时，我开始与神交谈。在大自然中那安静的对话令人心平气和，仿佛神就走在我身边。,"Mientras paseaba al atardecer, comencé a hablar con Dios. La conversación tranquila en la naturaleza fue tan pacífica que sentí que Dios caminaba a mi lado.",나는 오늘 하나님과 얼마나 대화를 나누었나요?,How much did I talk with God today?,今日は神様とどれくらい話しましたか？,今天我与神交谈了多少？,¿Cuánto hablé con Dios hoy?,자연 속에서 하나님을 만난 적이 있나요?,Have I encountered God in nature before?,自然の中で神様に出会ったことがありますか？,我是否曾在大自然中遇见神？,¿Alguna vez has encontrado a Dios en la naturaleza?
